strategy,imbalance_usd,abs_imbalance_usd,da_cost_usd,energy_mwh,usd_per_mwh,pct_of_da_cost,slots,ci95_low,ci95_high
persist_2d,85957766.88453546,334725377.3531287,11401547622.06237,151297050.76939082,0.5681390777111284,0.7539131505112898,385385,31291002.815826487,142642333.30314368
persist_7d,26496620.19519975,432279976.7978397,11211971210.162315,151295513.50875747,0.17513156590506593,0.23632436882449112,385385,-62773293.65237567,117875194.94584763
mean_7_14,21269398.355680622,445649999.5004787,11104652172.357239,151310270.15827414,0.14056810772614659,0.19153592589443225,385429,-94496062.99651143,128467180.16835412
isolf_pre,34195149.597091496,157529730.2887956,11345493367.52,151310270.15827414,0.22599357969107156,0.3013985244131008,385429,8377225.851767102,60453448.06896112
isolf_post,25910717.499770895,147962841.49556452,11362775983.355,151310270.15827414,0.17124229222952062,0.22803157905890914,385429,-2412903.645386215,53008198.77426243
isolf_pre_alpha,54880630.94554123,142750726.3935038,11549608664.535336,151310270.15827414,0.3627026168688668,0.47517307763041156,385429,35391761.649158604,77362220.46932909
model,54866309.51353517,218400128.83556303,11498891435.762806,151310270.15827414,0.36260796743105217,0.477144338826393,385429,21913781.32741589,89878484.60289633
model_alpha_bid,55462892.55821345,220135654.81298086,11458642184.991405,151310270.15827414,0.36655074701933943,0.48402674298407766,385429,21378520.003274683,91779904.43203562
model_alpha_emp,60467081.82240875,232527203.49507904,11373310447.93853,151310270.15827414,0.3996231171827183,0.5316577095050519,385429,21601374.78844097,101618173.46140118
