zone,slot_raw,slot_conformal,hourly_raw,hourly_conformal,width_raw_pct,width_conformal_pct,below_conf,above_conf
CAPITL,47.270184651388455,77.5079197465681,48.10502283105023,77.9566210045662,12.230354755773993,23.12770315786395,11.8839007962556,10.60817945717629
CENTRL,44.38482833414196,77.60210051656725,44.86301369863014,77.87671232876713,11.182397311849211,22.763219514146606,11.45009846171409,10.947801021718655
DUNWOD,45.178229972316565,76.74876566112047,46.09589041095891,77.38584474885845,8.448652042629144,17.644175742975424,12.155027255344045,11.09620708353549
GENESE,47.23879106138874,77.84183338565597,47.37442922374429,78.21917808219177,10.751794766025451,21.010286297128715,11.940980050800537,10.21718656354348
HUD VL,47.447130340477756,77.24820913838866,48.13926940639269,77.81963470319636,12.340323517257614,23.523737183751646,11.587088672621935,11.164702188989411
LONGIL,44.00239732869089,75.68423756385741,44.42922374429224,75.95890410958904,10.681719948441163,22.205249685227162,12.8171466080653,11.498615828077286
MHK VL,45.51785153685893,77.74194469020235,46.130136986301366,78.18493150684932,15.030486805151233,30.468728874797197,11.444390536259597,10.813664773538058
MILLWD,42.626787294157936,77.10265703929907,43.27625570776256,77.86529680365297,11.859125745605231,24.998657922509718,11.826821541710665,11.070521418990268
N.Y.C.,40.85447644053769,77.11978081566254,40.81050228310502,77.31735159817352,6.26586733039529,14.586129528387962,11.923856274437055,10.956362909900397
NORTH,49.54479294500414,78.0444647392905,51.23287671232877,79.4634703196347,7.845885709967323,14.568752474121677,11.444390536259597,10.511144724449899
NYCA,43.257513056879475,77.48508804475014,43.43607305936073,77.6027397260274,7.409902069945487,15.843815633052472,11.510031678986273,11.004880276263592
WEST,42.62107936870345,75.9582179856731,43.00228310502283,76.26712328767124,7.2885548559539295,15.462833140045094,12.78860698079283,11.253175033534061
pooled,44.9953385275455,77.17376827725296,45.574581430745816,77.65981735159816,10.111255404916259,20.516940762833965,11.897694949437293,10.928536773309741
