strategy,imbalance_usd,abs_imbalance_usd,da_cost_usd,energy_mwh,usd_per_mwh,pct_of_da_cost,slots,ci95_low,ci95_high
persist_2d,85957766.88453546,334725377.3531287,11401547622.06237,151297050.76939082,0.5681390777111284,0.7539131505112898,385385,31291002.815826487,142642333.30314368
persist_7d,26496620.19519975,432279976.7978397,11211971210.162315,151295513.50875747,0.17513156590506593,0.23632436882449112,385385,-62773293.65237567,117875194.94584763
mean_7_14,21269398.355680622,445649999.5004787,11104652172.357239,151310270.15827414,0.14056810772614659,0.19153592589443225,385429,-94496062.99651143,128467180.16835412
isolf_pre,34195149.597091496,157529730.2887956,11345493367.52,151310270.15827414,0.22599357969107156,0.3013985244131008,385429,8377225.851767102,60453448.06896112
isolf_post,25910717.499770895,147962841.49556452,11362775983.355,151310270.15827414,0.17124229222952062,0.22803157905890914,385429,-2412903.645386215,53008198.77426243
isolf_pre_alpha,54880630.94554123,142750726.3935038,11549608664.535336,151310270.15827414,0.3627026168688668,0.47517307763041156,385429,35391761.649158604,77362220.46932909
model,45732897.40868606,183735737.06555074,11501177334.358067,151310270.15827414,0.3022458248263542,0.3976366599623309,385429,18915282.275637403,73673071.42559396
model_alpha_bid,46492190.31778439,185532242.14836884,11457246945.848553,151310270.15827414,0.30726394361170895,0.4057884982101262,385429,17963046.86609093,76096539.57379678
model_alpha_emp,49608371.390374556,190288785.7055596,11425016713.023317,151310270.15827414,0.32785858711694205,0.4342083047793377,385429,17571921.508887816,80746125.60969928
