strategy,imbalance_usd,abs_imbalance_usd,da_cost_usd,energy_mwh,usd_per_mwh,pct_of_da_cost,slots,ci95_low,ci95_high
persist_2d,85957766.88453546,334725377.3531287,11401547622.06237,151297050.76939082,0.5681390777111284,0.7539131505112898,385385,31291002.815826487,142642333.30314368
persist_7d,26496620.19519975,432279976.7978397,11211971210.162315,151295513.50875747,0.17513156590506593,0.23632436882449112,385385,-62773293.65237567,117875194.94584763
mean_7_14,21269398.355680622,445649999.5004787,11104652172.357239,151310270.15827414,0.14056810772614659,0.19153592589443225,385429,-94496062.99651143,128467180.16835412
isolf_pre,34195149.597091496,157529730.2887956,11345493367.52,151310270.15827414,0.22599357969107156,0.3013985244131008,385429,8377225.851767102,60453448.06896112
isolf_post,25910717.499770895,147962841.49556452,11362775983.355,151310270.15827414,0.17124229222952062,0.22803157905890914,385429,-2412903.645386215,53008198.77426243
isolf_pre_alpha,54880630.94554123,142750726.3935038,11549608664.535336,151310270.15827414,0.3627026168688668,0.47517307763041156,385429,35391761.649158604,77362220.46932909
model,40766581.084092215,153925016.26574442,11594759066.773785,151310270.15827414,0.2694237545240611,0.35159489601568256,385429,26179540.348623917,57358340.56838341
model_alpha_bid,41164670.6198743,159893208.1660815,11512016346.721,151310270.15827414,0.2720547030734601,0.3575800223007792,385429,23123982.989354175,60655997.311343856
model_alpha_emp,41110944.73005331,156788795.61249608,11520730866.512419,151310270.15827414,0.2716996320676071,0.3568432003697914,385429,21968184.75478846,60476738.49413025
