zone,slot_raw,slot_conformal,hourly_raw,hourly_conformal,width_raw_pct,width_conformal_pct,below_conf,above_conf
CAPITL,74.44847170295957,76.77159736293844,75.26255707762557,77.43150684931507,14.307957943070674,15.717580891200353,11.732640771711521,11.495761865350039
CENTRL,75.8668911784012,77.49650389565912,76.87214611872146,78.41324200913242,13.880977197501792,15.382991897450646,10.770855332629356,11.732640771711521
DUNWOD,74.16022146750764,76.82011472930164,74.98858447488584,78.01369863013699,11.67375035807604,12.350000027486024,11.909586460800822,11.270298809897543
GENESE,75.170524272953,76.69454036930277,75.81050228310502,77.35159817351598,12.847710618942138,13.846785374823906,11.549987157167728,11.755472473529496
HUD VL,75.45592054567767,76.50332486657724,76.67808219178082,77.12328767123287,14.384545886749292,15.623905461036422,11.686977368075572,11.809697765347185
LONGIL,76.91714946202802,76.88575587202831,77.35159817351598,77.28310502283105,13.066180232786314,13.958977683983681,11.855361168983134,11.258882958988556
MHK VL,72.53346271297697,78.73797768201148,73.42465753424658,79.49771689497716,18.984377379725554,21.76778923380858,10.051656725363166,11.21036559262536
MILLWD,72.06255886298125,76.08950027112647,72.76255707762557,77.21461187214612,17.626785098699624,19.230539257822198,11.224635406261594,12.685864322611948
N.Y.C.,80.58449156654014,75.81266588658352,81.03881278538813,76.03881278538813,9.389720136346885,9.067707063418254,12.828562458974286,11.358771654442194
NORTH,77.75336054111133,76.66029281657582,79.1095890410959,78.2876712328767,14.164127651681424,13.700971627258053,11.45009846171409,11.889608721710095
NYCA,77.19398384657097,76.52615656839522,77.6255707762557,76.87214611872146,9.101874837411417,9.380187262920309,11.849653243528639,11.624190188076144
WEST,65.53840006849511,74.66822683295756,65.9703196347032,74.96575342465754,10.679749020900255,11.566315083077669,12.314849168069864,13.016923998972574
pooled,74.80711968568357,76.63888809612146,75.57458143074581,77.37442922374429,13.342313030157618,14.299479238690507,11.602071976939982,11.759039926938554
